fre_id,eng_id,fre_docname,eng_docname
001-115055,001-115377,AFFAIRE MICHAUD c. FRANCE,CASE OF MICHAUD v. FRANCE
001-79997,001-73049,AFFAIRE COPLAND c. LE ROYAUME-UNI,COPLAND v. THE UNITED KINGDOM
001-210280,001-210077,AFFAIRE BIG BROTHER WATCH ET AUTRES c. ROYAUME-UNI,CASE OF BIG BROTHER WATCH AND OTHERS v. THE UNITED KINGDOM
001-90015,001-105976,AFFAIRE K.U. c. FINLANDE,CASE OF BRUNCRONA AND 3 OTHER CASES AGAINST FINLAND
001-62183,001-55546,AFFAIRE KRUSLIN c. FRANCE,CASE OF KRUSLIN AGAINST FRANCE
001-90616,001-111942,AFFAIRE REKLOS ET DAVOURLIS c. GRECE,CASE OF REKLOS AND DAVOURLIS AGAINST GREECE
001-62466,001-45580,AFFAIRE MURRAY c. ROYAUME-UNI,MURRAY v. the UNITED KINGDOM
001-67929,001-164090,AFFAIRE SCIACCA c. ITALIE,CASE OF SCIACCA AGAINST ITALY
001-91426,001-91513,AFFAIRE TOMA c. ROUMANIE,CASE OF TOMA v. ROMANIA
001-161412,001-113055,AFFAIRE KAHN c. ALLEMAGNE,KAHN c. ALLEMAGNE
001-114030,001-166825,AFFAIRE ALKAYA c. TURQUIE,CASE OF ALKAYA AGAINST TURKEY
001-105705,001-105706,AFFAIRE JARNEA c. ROUMANIE,CASE OF JARNEA v. ROMANIA
001-62696,001-58135,AFFAIRE GUERRA ET AUTRES c. ITALIE,CASE OF GUERRA AND OTHERS v. ITALY
001-62735,001-45778,AFFAIRE McGINLEY ET EGAN c. ROYAUME-UNI,McGINLEY AND EGAN v. THE UNITED KINGDOM
001-142630,001-178433,AFFAIRE RADU c. RÉPUBLIQUE DE MOLDOVA,CASE OF RADU AGAINST THE REPUBLIC OF MOLDOVA
001-175218,001-186801,AFFAIRE SATAKUNNAN MARKKINAPÖRSSI OY ET SATAMEDIA OY c. FINLANDE,CASE OF VILHO ESKELINEN AND OTHERS AGAINST FINLAND AND 6 OTHER CASES
001-62764,001-55705,AFFAIRE VALENZUELA CONTRERAS c. ESPAGNE,CASE OF VALENZUELA CONTRERAS AGAINST SPAIN
001-91699,001-76586,WEBER ET SARAVIA c. ALLEMAGNE,WEBER AND SARAVIA v. GERMANY
001-62184,001-55545,AFFAIRE HUVIG c. FRANCE,CASE OF HUVIG AGAINST FRANCE
001-96363,001-96458,AFFAIRE M.B. c. FRANCE,CASE OF M.B. v. FRANCE
001-147352,NaN,J.P.D. c. FRANCE,NaN
001-92438,001-109742,AFFAIRE K.H. ET AUTRES c. SLOVAQUIE [Extraits],CASE OF K.H. AND OTHERS AGAINST THE SLOVAK REPUBLIC
001-75592,001-70493,AFFAIRE SEGERSTEDT-WIBERG ET AUTRES c. SUEDE,SEGERSTEDT-WIBERG AND OTHERS v. SWEDEN
001-62068,001-73538,AFFAIRE KLASS ET AUTRES c. ALLEMAGNE,KLASS AND OTHERS v. GERMANY
001-62775,001-58219,AFFAIRE LAMBERT c. FRANCE,CASE OF LAMBERT v. FRANCE
001-65499,001-60943,AFFAIRE PRADO BUGALLO c. ESPAGNE,CASE OF PRADO BUGALLO v. SPAIN
001-150776,001-152275,AFFAIRE PRUTEANU c. ROUMANIE,CASE OF PRUTEANU v. ROMANIA
001-163452,001-139136,AFFAIRE CEVAT ÖZEL c. TURQUIE,ÖZEL v. TURKEY
001-219140,NaN,DEVECİ c. TÜRKİYE,NaN
001-162858,001-163222,AFFAIRE D.L. c. BULGARIE,CASE OF D.L. v. BULGARIA
001-163612,001-164228,AFFAIRE VERSINI-CAMPINCHI ET CRASNIANSKI c. FRANCE,CASE OF VERSINI-CAMPINCHI AND CRASNIANSKI v. FRANCE
001-63078,001-58841,AFFAIRE KHAN c. ROYAUME-UNI,CASE OF KHAN v. THE UNITED KINGDOM
001-79650,001-106855,AFFAIRE HEGLAS c. REPUBLIQUE TCHEQUE,CASE OF HEGLAS AGAINST THE CZECH REPUBLIC
001-62934,001-58403,AFFAIRE DEMIRTEPE c. FRANCE,CASE OF DEMIRTEPE v. FRANCE
001-64165,001-5126,AFFAIRE VALASINAS c. LITUANIE,VALASINAS v. LITHUANIA
001-62134,001-57576,AFFAIRE SILVER ET AUTRES c. ROYAUME-UNI,CASE OF SILVER AND OTHERS v. THE UNITED KINGDOM (ARTICLE 50)
001-63370,001-58818,AFFAIRE MESSINA c. ITALIE (N° 2),CASE OF MESSINA v. ITALY (No. 2)
001-79261,001-220858,AFFAIRE EKİNCİ ET AKALIN c. TURQUIE,CASE OF FAZIL AHMET TAMER AGAINST TÜRKİYE AND 3 OTHER CASES
001-62327,001-45482,AFFAIRE CAMPBELL c. ROYAUME-UNI,CAMPBELL v. THE UNITED KINGDOM
001-63970,001-46167,AFFAIRE PEERS c. GRECE,PEERS v. GREECE
001-92851,001-121962,AFFAIRE SZULUK c. ROYAUME-UNI,CASE OF SZULUK AGAINST THE UNITED KINGDOM
001-64115,001-4975,AFFAIRE ERDEM c. ALLEMAGNE,ERDEM v. GERMANY
001-62340,001-55554,AFFAIRE LÜDI c. SUISSE,CASE OF LÜDI AGAINST SWITZERLAND
001-62600,001-45813,AFFAIRE HALFORD c. ROYAUME-UNI,HALFORD v. THE UNITED KINGDOM
001-80955,001-69874,AFFAIRE SMIRNOV c. RUSSIE,Mikhail SMIRNOV v. RUSSIA
001-153318,001-177802,AFFAIRE VINCI CONSTRUCTION ET GTM GÉNIE CIVIL ET SERVICES c. FRANCE,CASE OF VINCI CONSTRUCTION AND GTM GENIE CIVIL ET SERVICES AGAINST FRANCE
001-173787,001-192116,AFFAIRE TRABAJO RUEDA c. ESPAGNE,CASE OF TRABAJO RUEDA AGAINST SPAIN
001-146675,001-177882,AFFAIRE DELTA PEKÁRNY A.S. c. RÉPUBLIQUE TCHÈQUE,CASE OF DELTA PEKÁRNY A.S. AGAINST THE CZECH REPUBLIC
001-68921,001-68920,AFFAIRE BUCK c. ALLEMAGNE,CASE OF BUCK v. GERMANY
001-65779,001-61214,AFFAIRE ERNST ET AUTRES c. BELGIQUE,CASE OF ERNST AND OTHERS v. BELGIUM
001-82710,001-82711,AFFAIRE WIESER ET BICOS BETEILIGUNGEN GMBH c. AUTRICHE,CASE OF WIESER AND BICOS BETEILIGUNGEN GMBH v. AUSTRIA
001-87834,001-87938,AFFAIRE ANDRÉ ET AUTRE c. FRANCE,CASE OF ANDRÉ AND ANOTHER v. FRANCE
001-158210,001-127640,AFFAIRE SHER ET AUTRES c. ROYAUME-UNI,SHER AND OTHERS v. THE UNITED KINGDOM
001-96677,001-118306,AFFAIRE GILLAN ET QUINTON c. ROYAUME-UNI [Extraits],CASE OF GILLAN AND QUINTON AGAINST THE UNITED KINGDOM
001-92539,001-75655,SUCCESSION KRESTEN FILTENBORG MORTENSEN c. DANEMARK,ESTATE OF KRESTEN FILTENBORG MORTENSEN v. DENMARK
001-76409,001-76412,AFFAIRE JÄGGI c. SUISSE,CASE OF JÄGGI v. SWITZERLAND
001-150605,001-184852,AFFAIRE ELBERTE c. LETTONIE,CASE OF PETROVA AGAINST LATVIA AND 1 OTHER CASE
001-91713,001-70942,AFFAIRE TIMES NEWSPAPERS LTD c. ROYAUME-UNI (N° 1 et N° 2),TIMES NEWSPAPERS LTD v. THE UNITED KINGDOM (Nos. 1 AND 2)
001-66402,001-61853,AFFAIRE VON HANNOVER c. ALLEMAGNE,CASE OF VON HANNOVER v. GERMANY
001-113332,001-158837,AFFAIRE GODELLI c. ITALIE,CASE OF GODELLI AGAINST ITALY
001-126433,001-126765,AFFAIRE ANTONETA TUDOR c. ROUMANIE,CASE OF ANTONETA TUDOR v. ROMANIA
001-70658,001-22469,AFFAIRE ROCHE c. ROYAUME-UNI,ROCHE v. THE UNITED KINGDOM
001-65153,001-106990,AFFAIRE CHRISTINE GOODWIN c. ROYAUME-UNI,CASES OF I. AND CHRISTINE GOODWIN AGAINST THE UNITED KINGDOM
001-62121,001-74129,AFFAIRE REES c. ROYAUME-UNI,REES v. the UNITED KINGDOM
001-62198,001-45364,AFFAIRE COSSEY c. ROYAUME-UNI,C. v. UNITED KINGDOM
001-66311,001-45783,AFFAIRE SHEFFIELD ET HORSHAM c. ROYAUME-UNI,SHEFFIELD v. THE UNITED KINGDOM
001-172556,001-183132,"AFFAIRE A.P., GARÇON ET NICOT c. FRANCE","CASE OF A.P., GARÇON AND NICOT AGAINST FRANCE"
001-160008,001-142532,AFFAIRE ROMAN ZAKHAROV c. RUSSIE,ZAKHAROV v. RUSSIA
001-205053,001-205439,AFFAIRE GAFIUC c. ROUMANIE,CASE OF GAFIUC v. ROMANIA
001-160825,003-5306001-6605733,AFFAIRE SOCIÉTÉ DE CONCEPTION DE PRESSE ET D'ÉDITION c. FRANCE,Forthcoming judgments and decisions 23-25.02.16
001-115844,001-115946,AFFAIRE BUCUR ET TOMA c. ROUMANIE,CASE OF BUCUR AND TOMA v. ROMANIA
001-204938,001-215307,AFFAIRE JECKER c. SUISSE,CASE OF JECKER AGAINST SWITZERLAND
001-156519,001-157284,"AFFAIRE SÉRVULO & ASSOCIADOS – SOCIEDADE DE ADVOGADOS, RL ET AUTRES c. PORTUGAL","CASE OF SÉRVULO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, RL AND OTHERS v. PORTUGAL"
001-160244,001-160255,AFFAIRE GÖRMÜŞ ET AUTRES c. TURQUIE,CASE OF GÖRMÜŞ AND OTHERS v. TURKEY
001-67264,001-67265,AFFAIRE Y.B. ET AUTRES c. TURQUIE,CASE OF Y.B. AND OTHERS v. TURKEY
001-62736,001-45780,AFFAIRE L.C.B. c. ROYAUME-UNI,L.C.B. v. THE UNITED KINGDOM
001-153980,001-127699,SMALTINI c. ITALIE,SMALTINI v. ITALY
001-78183,NaN,APARICIO BENITO c. ESPAGNE,NaN
001-62468,001-57905,AFFAIRE LÓPEZ OSTRA c. ESPAGNE,CASE OF LÓPEZ OSTRA v. SPAIN
001-70334,NaN,RUANO MORCUENDE c. ESPAGNE,NaN
001-100357,001-181972,AFFAIRE FLOREA c. ROUMANIE,CASE OF ALI AGAINST ROMANIA AND 120 OTHER CASES
001-107017,001-181972,AFFAIRE PAVALACHE c. ROUMANIE,CASE OF ALI AGAINST ROMANIA AND 120 OTHER CASES
001-148507,001-218411,AFFAIRE VASILESCU c. BELGIQUE,CASE OF VASILESCU AGAINST BELGIUM AND 2 OTHER CASES
001-173476,001-220094,AFFAIRE SYLLA ET NOLLOMONT c. BELGIQUE,CASE OF SYLLA AND NOLLOMONT AGAINST BELGIUM AND 1 OTHER CASE
001-103007,001-181972,AFFAIRE ELEFTERIADIS c. ROUMANIE,CASE OF ALI AGAINST ROMANIA AND 120 OTHER CASES
001-107417,001-107418,AFFAIRE PLATHEY c. FRANCE,CASE OF PLATHEY v. FRANCE
001-62419,001-55611,AFFAIRE ZANDER c. SUÈDE,CASE OF ZANDER AGAINST SWEDEN
001-62643,001-45818,AFFAIRE BALMER-SCHAFROTH ET AUTRES c. SUISSE,BALMER-SCHAFROTH and NINE OTHERS v. SWITZERLAND
001-63052,001-3595,AFFAIRE ATHANASSOGLOU ET AUTRES c. SUISSE,GREENPEACE SCHWEIZ AND OTHERS v. SWITZERLAND
001-66289,001-61731,AFFAIRE GORRAIZ LIZARRAGA ET AUTRES c. ESPAGNE,CASE OF GORRAIZ LIZARRAGA AND OTHERS v. SPAIN
001-67400,001-205916,AFFAIRE TAŞKIN ET AUTRES c. TURQUIE,CASE OF TAŞKIN AND OTHERS AGAINST TURKEY AND 3 OTHER CASES
001-69673,001-69672,AFFAIRE OKYAY ET AUTRES c. TURQUIE,CASE OF OKYAY AND OTHERS  v. TURKEY
001-76737,NaN,FOLKMAN ET AUTRES c. REPUBLIQUE TCHEQUE,NaN
001-97738,NaN,LORENTZATOU c. GRECE,NaN
001-108351,NaN,ASSOCIATION GREENPEACE FRANCE c. FRANCE,NaN
001-91491,001-141018,AFFAIRE L'ÉRABLIÈRE A.S.B.L. c. BELGIQUE,CASE OF L'ÉRABLIÈRE A.S.B.L. AGAINST BELGIUM
001-141567,001-196617,AFFAIRE HOWALD MOOR ET AUTRES c. SUISSE,CASE OF HOWALD MOOR AND OTHERS AGAINST SWITZERLAND
001-104672,001-210831,AFFAIRE APANASEWICZ c. POLOGNE,CASE OF APANASEWICZ AGAINST POLAND
001-80859,001-205916,AFFAIRE LEMKE c. TURQUIE,CASE OF TAŞKIN AND OTHERS AGAINST TURKEY AND 3 OTHER CASES
001-65657,001-5032,AFFAIRE KYRTATOS c. GRECE,KYRTATOU & KYRTATOS v. GREECE
001-71847,001-103858,AFFAIRE IERA MONI PROFITOU ILIOU THIRAS c. GRECE,CASE OF IERA MONI PROFITOU ILIOU THIRAS AGAINST GREECE
001-172321,001-172673,AFFAIRE MAGOMEDOV ET AUTRES c. RUSSIE,CASE OF MAGOMEDOV AND OTHERS v. RUSSIA
001-68228,001-22808,AFFAIRE STEEL ET MORRIS c. ROYAUME-UNI,STEEL and MORRIS v. THE UNITED KINGDOM
001-80983,001-81006,AFFAIRE COLLECTIF NATIONAL D'INFORMATION ET D'OPPOSITION A L'USINE MELOX - COLLECTIF STOP MELOX ET MOX c. FRANCE,CASE OF COLLECTIF NATIONAL D'INFORMATION ET D'OPPOSITION A L'USINE MELOX - COLLECTIF STOP MELOX ET MOX v. FRANCE
001-62334,001-55836,AFFAIRE DE GEOUFFRE DE LA PRADELLE c. FRANCE,CASE OF DE GEOUFFRE DE LA PRADELLE AGAINST FRANCE
001-44057,001-23729,GEFFRE contre la FRANCE,GEFFRE v. FRANCE [Extracts]
001-174785,001-155245,DE MORTEMART c. FRANCE,DE MORTEMART v. FRANCE
001-192065,001-220453,AFFAIRE DIMOPULOS c. TURQUIE,CASE OF DIMOPULOS AGAINST TURKEY
001-98001,001-98002,AFFAIRE BACILA c. ROUMANIE,CASE OF BACILA v. ROMANIA
001-31691,NaN,SCIAVILLA contre l'ITALIE,NaN
001-126431,001-85411,FÄGERSKIÖLD c. SUÈDE,FÄGERSKIÖLD v. SWEDEN
001-106524,NaN,FRANKOWSKI ET AUTRES c. POLOGNE,NaN
001-174703,NaN,FIEROIU ET AUTRES c. ROUMANIE,NaN
001-90909,001-83052,AFFAIRE TĂTAR c. ROUMANIE,TATAR  AND TATAR v. ROMANIA
001-115143,001-115466,AFFAIRE FLAMENBAUM ET AUTRES c. FRANCE,CASE OF FLAMENBAUM AND OTHERS v. FRANCE
001-67477,001-67478,AFFAIRE  MORENO GÓMEZ c. ESPAGNE,CASE OF MORENO GÓMEZ v. SPAIN
001-72459,NaN,LUGINBUHL c. SUISSE,NaN
001-111833,001-112011,AFFAIRE MARTÍNEZ MARTÍNEZ ET PINO MANZANO c. ESPAGNE,CASE OF MARTÍNEZ MARTÍNEZ AND PINO MANZANO v. SPAIN
001-181419,NaN,CALANCEA ET AUTRES c. RÉPUBLIQUE DE MOLDOVA,NaN
001-149141,NaN,PŁACHTA ET AUTRES c. POLOGNE,NaN
001-92073,001-181972,AFFAIRE BRANDUSE c. ROUMANIE,CASE OF ALI AGAINST ROMANIA AND 120 OTHER CASES
001-72910,001-205916,AFFAIRE ÖÇKAN ET AUTRES c. TURQUIE,CASE OF TAŞKIN AND OTHERS AGAINST TURKEY AND 3 OTHER CASES
001-62179,001-45382,AFFAIRE POWELL ET RAYNER c. ROYAUME-UNI,POWELL AND RAYNER v. THE UNITED KINGDOM
001-65744,001-68988,AFFAIRE HATTON ET AUTRES c. ROYAUME-UNI,CASE OF HATTON AND OTHERS AGAINST THE UNITED KINGDOM
001-192174,NaN,PODELEAN c. ROUMANIE,NaN
001-77784,001-77785,AFFAIRE GIACOMELLI c. ITALIE,CASE OF GIACOMELLI v. ITALY
001-63721,001-4141,AFFAIRE CHAPMAN c. ROYAUME-UNI,CHAPMAN v. THE UNITED KINGDOM
001-62635,001-58076,AFFAIRE BUCKLEY c. ROYAUME-UNI,CASE OF BUCKLEY v. THE UNITED KINGDOM
001-62866,001-45873,AFFAIRE STEEL ET AUTRES c. ROYAUME-UNI,STEEL AND OTHERS v. THE UNITED KINGDOM
001-62914,001-3212,AFFAIRE HASHMAN ET HARRUP c. ROYAUME-UNI,HASHMAN AND HARRUP v. THE UNITED KINGDOM
001-77842,001-106882,AFFAIRE MAMERE c. FRANCE,CASE OF MAMERE AGAINST FRANCE
001-64092,001-5203,AFFAIRE VgT VEREIN GEGEN TIERFABRIKEN c. SUISSE,VgT VEREIN GEGEN TIERFABRIKEN v. SWITZERLAND
001-93264,001-82559,AFFAIRE VEREIN GEGEN TIERFABRIKEN SCHWEIZ (VgT) c. SUISSE (N° 2),CASE OF VEREIN GEGEN TIERFABRIKEN SCHWEIZ (VgT) v. SWITZERLAND (No. 2)
001-106885,NaN,VEREIN GEGEN TIERFABRIKEN SCHWEIZ (VgT) c. SUISSE,NaN
001-119279,001-111190,AFFAIRE ANIMAL DEFENDERS INTERNATIONAL c. ROYAUME-UNI,ANIMAL DEFENDERS INTERNATIONAL v. THE UNITED KINGDOM
001-63020,001-4603,AFFAIRE BLADET TROMSØ ET STENSAAS c. NORVEGE,BLADET TROMSØ A/S AND STENSÅS v. NORWAY
001-79073,001-89131,AFFAIRE ALMEIDA AZEVEDO c. PORTUGAL,CASE OF DE ALMEIDA AZEVEDO AGAINST PORTUGAL
001-205376,001-230848,AFFAIRE KILIÇDAROĞLU c. TURQUIE,CASE OF KILIÇDAROĞLU AGAINST TURKEY
001-66349,001-61791,AFFAIRE VIDES AIZSARDZIBAS KLUBS c. LETTONIE,CASE OF VIDES AIZSARDZIBAS KLUBS v. LATVIA
001-168716,001-167828,AFFAIRE MAGYAR HELSINKI BIZOTTSÁG c. HONGRIE,CASE OF MAGYAR HELSINKI BIZOTTSÁG v. HUNGARY
001-105563,001-114684,EHRMANN ET SCI VHI c. FRANCE,EHRMANN AND SCI VHI v. FRANCE [Extracts]
001-94855,001-224306,AFFAIRE TEBIETI MÜHAFIZE CEMIYYETI AND ISRAFILOV c. AZERBAIDJAN,CASE OF ALIYEV AND OTHERS AGAINST AZERBAIJAN AND 4 OTHER CASES
001-62843,001-58288,AFFAIRE CHASSAGNOU ET AUTRES c. FRANCE,CASE OF CHASSAGNOU AND OTHERS v. FRANCE
001-81437,001-81507,AFFAIRE SCHNEIDER c. LUXEMBOURG,CASE OF SCHNEIDER v. LUXEMBOURG
001-106224,001-106225,AFFAIRE A.S.P.A.S. ET LASGREZAS c. FRANCE,CASE OF A.S.P.A.S. AND LASGREZAS v. FRANCE
001-84161,NaN,BAUDINIERE ET VAUZELLE c. FRANCE,NaN
001-113716,001-113715,AFFAIRE CHABAUTY c. FRANCE,CASE OF CHABAUTY v. FRANCE
001-62207,001-73451,AFFAIRE FREDIN c. SUÈDE (N° 1),FREDIN v. SWEDEN (No. 1)
001-62270,001-45467,AFFAIRE PINE VALLEY DEVELOPMENTS LTD ET AUTRES c. IRLANDE,PINE VALLEY DEVELOPMENTS LTD AND OTHERS v. IRELAND
001-62622,001-58063,"AFFAIRE MATOS E SILVA, LDA., ET AUTRES c. PORTUGAL","CASE OF MATOS E SILVA, LDA., AND OTHERS v. PORTUGAL"
001-111698,001-111690,AFFAIRE HERRMANN c. ALLEMAGNE,CASE OF HERRMANN v. GERMANY
001-31954,NaN,BAHIA NOVA S.A. contre l'ESPAGNE,NaN
001-66878,NaN,KAPSALIS et NIMA-KAPSALI c. GRECE,NaN
001-71783,001-75617,SCEA FERME DE FRESNOY c. FRANCE,SCEA FERME DE FRESNOY v. FRANCE [Extracts]
001-72456,NaN,GALTIERI c. ITALIE,NaN
001-75370,001-110210,VALICO S.R.L. c. ITALIE,VALICO S.R.L. v. ITALY
001-183909,001-169761,AFFAIRE O'SULLIVAN McCARTHY MUSSEL DEVELOPMENT LTD c. IRLANDE,O'SULLIVAN MC CARTHY MUSSEL DEVELOPMENT LTD v. IRELAND
001-208898,001-208591,AFFAIRE GAVRILOVA ET AUTRES c. RUSSIE,CASE OF GAVRILOVA AND OTHERS v. RUSSIA
001-83494,001-186224,AFFAIRE HAMER c. BELGIQUE,CASE OF DE LANDSHEER AGAINST BELGIUM AND 5 OTHER CASES
001-87379,001-111929,AFFAIRE TURGUT ET AUTRES c. TURQUIE,CASE OF TURGUT AND OTHERS AND 18 OTHER CASES AGAINST TURKEY
001-87452,001-111929,AFFAIRE KOKTEPE c. TURQUIE,CASE OF TURGUT AND OTHERS AND 18 OTHER CASES AGAINST TURKEY
001-91663,001-91664,AFFAIRE TEMEL CONTA SANAYİ VE TİCARET A.Ş.  c. TURQUIE,CASE OF TEMEL CONTA SANAYI VE TICARET A.S. v. TURKEY
001-126554,001-193028,AFFAIRE BİL İNŞAAT TAAHHÜT TİCARET LİMİTED ŞİRKETİ c. TURQUIE,CASE OF BİL İNŞAAT TAAHHÜT TİCARET LİMİTED ŞİRKETİ AGAINST TURKEY
001-95839,001-150270,AFFAIRE NANE ET AUTRES c. TURQUIE,CASE OF ORMANCI AND OTHERS AND 281 OTHER CASES AGAINST TURKEY
001-97844,NaN,TARIM c. TURQUIE,NaN
001-97976,001-90633,AFFAIRE DEPALLE c. FRANCE,DEPALLE v. FRANCE
001-166949,001-167580,AFFAIRE MALFATTO ET MIELLE c. FRANCE,CASE OF MALFATTO AND MIELLE v. FRANCE
001-101765,001-102542,AFFAIRE CONSORTS RICHET ET LE BER c. FRANCE,CASE OF CONSORTS RICHET AND LE BER v. FRANCE
001-95649,001-95650,AFFAIRE CIN ET AUTRES c. TURQUIE,CASE OF CIN AND OTHERS v. TURKEY
001-95849,001-95850,AFFAIRE KÖK ET AUTRES c. TURQUIE,CASE OF KÖK AND OTHERS v. TURKEY
001-96790,001-207302,AFFAIRE OCAK c. TURQUIE,CASE OF OCAK AGAINST TURKEY
001-96944,001-96946,AFFAIRE KECELI ET BASPINAR c. TURQUIE,CASE OF KECELI AND BASPINAR v. TURKEY
001-97191,001-178803,AFFAIRE BÖLÜKBAS ET AUTRES c. TURQUIE,CASE OF ADEM YILMAZ DOĞAN AND OTHERS AGAINST TURKEY AND 9 OTHER CASES
001-138557,001-198356,AFFAIRE SİLAHYÜREKLİ c. TURQUIE,CASE OF SİLAHYÜREKLİ v. TURKEY
001-146415,001-166561,AFFAIRE VALLE PIERIMPIÈ SOCIETÀ  AGRICOLA S.P.A c. ITALIE,CASE OF VALLE PIERIMPIÈ SOCIETÀ AGRICOLA S.P.A. v. ITALY
001-83871,001-148751,AFFAIRE Z.A.N.T.E. - MARATHONISI A.E. c. GRECE,CASE OF ANONYMOS TOURISTIKI ETAIRIA XENODOCHEIA KRITIS AND 3 OTHER CASES AGAINST GREECE
001-184389,001-226009,AFFAIRE G.I.E.M. S.R.L. ET AUTRES c. ITALIE,CASE OF G.I.E.M. S.R.L. AND OTHERS v. ITALY
001-44756,001-205916,TASKIN et AUTRES contre la TURQUIE,CASE OF TAŞKIN AND OTHERS AGAINST TURKEY AND 3 OTHER CASES
001-71313,001-71314,AFFAIRE OUZOUNOGLOU c. GRECE,CASE OF OUZOUNOGLOU v. GREECE
001-72363,001-72364,AFFAIRE ATHANASIOU ET AUTRES c. GRECE,CASE OF ATHANASIOU AND OTHERS v. GREECE
001-155362,001-155895,AFFAIRE COUTURON c. FRANCE,CASE OF COUTURON v. FRANCE
001-72561,NaN,ORFANOS ET ORFANOU c. GRECE,NaN
001-67540,001-197283,AFFAIRE FOTOPOULOU c. GRECE,CASE OF DACTYLIDI AGAINST GREECE AND 1 OTHER CASE
001-155264,001-155352,AFFAIRE LAMBERT ET AUTRES c. FRANCE,CASE OF LAMBERT AND OTHERS v. FRANCE
001-30470,NaN,BERNARD ET 47 AUTRES PERSONNES PHYSIQUES ET l'ASSOCIATION   GREENPEACE-LUXEMBOURG contre le LUXEMBOURG,NaN
001-25091,NaN,"ASSOCIATION DES RESIDENTS DU QUARTIER PONT ROYAL, LA COMMUNE DE LAMBERSART ET AUTRES contre la FRANCE",NaN
001-72515,NaN,BESSEAU ET AUTRE c. FRANCE,NaN
001-99981,NaN,CARON ET AUTRES c. FRANCE,NaN
001-78694,NaN,MURILLO SALDIAS ET AUTRES c. ESPAGNE,NaN
001-165187,NaN,"AHUNBAY ET AUTRES c. TURQUIE, AUTRICHE ET ALLEMAGNE",NaN
001-145358,001-198758,AFFAIRE TANDA-MUZINGA c. FRANCE,CASE OF SENIGO LONGUE AND OTHERS AGAINST FRANCE AND 2 OTHER CASES
001-145355,001-198758,AFFAIRE SENIGO LONGUE ET AUTRES c. FRANCE,CASE OF SENIGO LONGUE AND OTHERS AGAINST FRANCE AND 2 OTHER CASES
001-164201,001-182335,AFFAIRE TADDEUCCI ET McCALL c. ITALIE,CASE OF TADDEUCCI AND McCALL AGAINST ITALY
001-219585,NaN,THIAM c. ITALIE,NaN
001-203293,001-203632,AFFAIRE MUHAMMAD SAQAWAT c. BELGIQUE,CASE OF MUHAMMAD SAQAWAT v. BELGIUM
001-161541,001-217385,AFFAIRE SAKIR c. GRÈCE,CASE OF SAKIR AGAINST GREECE
001-104366,001-228500,AFFAIRE RAHIMI c. GRECE,CASE OF RAHIMI AGAINST GREECE
001-191278,001-205904,AFFAIRE H.A. ET AUTRES c. GRÈCE,CASE OF SHARIFI AND OTHERS AGAINST ITALY AND GREECE AND 3 OTHER CASES
001-211122,001-211470,AFFAIRE M.D. ET A.D. c. FRANCE,CASE OF M.D. AND A.D. v. FRANCE
001-96774,001-162068,AFFAIRE MUSKHADZHIYEVA ET AUTRES c. BELGIQUE,CASE OF MUSKHADZHIYEVA AND OTHERS AND 1 OTHER CASE AGAINST BELGIUM
001-108708,001-214806,AFFAIRE POPOV c. FRANCE,CASE OF POPOV AGAINST FRANCE AND 5 OTHER CASES
001-152891,001-214806,AFFAIRE R.M. ET AUTRES c. FRANCE,CASE OF POPOV AGAINST FRANCE AND 5 OTHER CASES
001-107895,001-162068,AFFAIRE KANAGARATNAM ET AUTRES c. BELGIQUE,CASE OF MUSKHADZHIYEVA AND OTHERS AND 1 OTHER CASE AGAINST BELGIUM
001-216534,001-216751,AFFAIRE N.B. ET AUTRES c. FRANCE,CASE OF N.B. AND OTHERS v. FRANCE
001-165268,001-174741,AFFAIRE A.M. c. FRANCE,CASE OF A.M. AGAINST FRANCE
001-203295,001-233426,AFFAIRE N.H. ET AUTRES c. FRANCE,CASE OF N.H. AND OTHERS AGAINST FRANCE
001-191277,001-191587,AFFAIRE KHAN c. FRANCE,CASE OF KHAN v. FRANCE
001-193610,001-205904,"AFFAIRE SH.D. ET AUTRES c. GRÈCE, AUTRICHE, CROATIE, HONGRIE, MACÉDOINE DU NORD, SERBIE ET SLOVÉNIE",CASE OF SHARIFI AND OTHERS AGAINST ITALY AND GREECE AND 3 OTHER CASES
001-196378,001-196928,AFFAIRE M.D. c. FRANCE,CASE OF M.D. v. FRANCE
001-221264,001-221863,AFFAIRE M.K. ET AUTRES c. FRANCE,CASE OF M.K. AND OTHERS v. FRANCE
001-218932,001-219132,AFFAIRE R c. FRANCE,CASE OF R v. FRANCE
001-196381,001-230080,AFFAIRE O.D. c. BULGARIE,CASE OF ALI REZA AGAINST BULGARIA AND 1 OTHER CASE
001-216976,001-230047,AFFAIRE M.A.M. c. SUISSE,CASE OF M.A.M. AGAINST SWITZERLAND
001-155655,NaN,L.O. c. FRANCE,NaN
001-180412,NaN,I.K. c. SUISSE,NaN
001-197217,001-208199,AFFAIRE A.A. c. SUISSE,CASE OF A.A. AGAINST SWITZERLAND
001-209176,001-209520,AFFAIRE K.I. c. FRANCE,CASE OF K.I. v. FRANCE
001-142125,001-184305,AFFAIRE M.G. c. BULGARIE,CASE OF M.G. AGAINST BULGARIA
001-224740,NaN,ANSARI c. PORTUGAL,NaN
