fre_id,eng_id,fre_docname,eng_docname
001-216050,NaN,BONNET c. FRANCE,NaN
001-75276,001-75277,AFFAIRE AYDIN TATLAV c. TURQUIE,CASE OF AYDIN TATLAV v. TURKEY
001-82119,001-1010,ROMMELFANGER c. ALLEMAGNE,ROMMELFANGER v. THE FEDERAL REPUBLIC OF GERMANY
001-111503,001-147940,AFFAIRE TANASOAICA c. ROUMANIE,CASE OF TANASOAICA AGAINST ROMANIA
001-182549,001-182550,AFFAIRE ERGÜNDOĞAN c. TURQUIE,CASE OF ERGÜNDOĞAN v. TURKEY
001-126362,001-126531,AFFAIRE VON HANNOVER c. ALLEMAGNE (N° 3),CASE OF VON HANNOVER v. GERMANY (No. 3)
001-80306,001-80307,"AFFAIRE COLACO MESTRE ET SCI - SOCIEDADE INDEPENDENTE DE COMUNICACAO, S.A. c. PORTUGAL","CASE OF COLACO MESTRE AND SIC - SOCIEDADE INDEPENDENTE DE COMUNICACAO, S.A. v. PORTUGAL"
001-210492,001-210912,AFFAIRE ERKIZIA ALMANDOZ c. ESPAGNE,CASE OF ERKIZIA ALMANDOZ v. SPAIN
001-87370,001-87454,AFFAIRE SOULAS ET AUTRES c. FRANCE,CASE OF SOULAS AND OTHERS v. FRANCE
001-98489,NaN,LE PEN c. FRANCE,NaN
001-170368,001-215379,AFFAIRE KAPSIS ET DANIKAS c. GRÈCE,CASE OF I AVGI PUBLISHING AND PRESS AGENCY S.A. & KARIS AGAINST GREECE AND 3 OTHER CASES
001-69691,NaN,MINELLI c. SUISSE,NaN
001-77519,001-77520,AFFAIRE GOURGUÉNIDZÉ c. GÉORGIE,CASE OF GURGENIDZE v. GEORGIA
001-44325,NaN,SOCIETE PRISMA PRESS contre la FRANCE,NaN
001-217556,001-217889,AFFAIRE PATRÍCIO MONTEIRO TELO DE ABREU c. PORTUGAL,CASE OF PATRÍCIO MONTEIRO TELO DE ABREU v. PORTUGAL
001-73200,001-73201,AFFAIRE BRASILIER c. FRANCE,CASE OF BRASILIER v. FRANCE
001-102692,001-102721,AFFAIRE BARATA MONTEIRO DA COSTA NOGUEIRA ET PATRICIO PEREIRA c. PORTUGAL,CASE OF BARATA MONTEIRO DA COSTA NOGUEIRA AND PATRICIO PEREIRA v. PORTUGAL
001-110329,001-118228,AFFAIRE DE LESQUEN DU PLESSIS-CASSO c. FRANCE,CASE OF DE LESQUEN DU PLESSIS-CASSO AGAINST FRANCE
001-98459,001-98510,AFFAIRE FLEURY c. FRANCE,CASE OF FLEURY v. FRANCE
001-98367,001-98368,AFFAIRE CARLAN c. ROUMANIE,CASE OF CARLAN v. ROMANIA
001-96776,001-96777,AFFAIRE LARANJEIRA MARQUES DA SILVA c. PORTUGAL,CASE OF LARANJEIRA MARQUES DA SILVA v. PORTUGAL
001-62127,001-57570,AFFAIRE SALABIAKU c. FRANCE,CASE OF SALABIAKU v. FRANCE
001-88986,001-88987,AFFAIRE FOLEA c. ROUMANIE,CASE OF FOLEA v. ROMANIA
001-176968,001-192966,AFFAIRE LACROIX c. FRANCE,CASE OF JEAN-JACQUES MOREL AGAINST FRANCE AND 7 OTHER CASES
001-76232,001-186888,AFFAIRE ERBAKAN c. TURQUIE,CASE OF INCAL AGAINST TURKEY AND 1 OTHER CASE
001-163327,001-163648,AFFAIRE NADTOKA c. RUSSIE,CASE OF NADTOKA v. RUSSIA
001-68374,001-68375,AFFAIRE PAKDEMİRLİ c. TURQUIE,CASE OF PAKDEMİRLİ v. TURKEY
001-155808,001-164931,AFFAIRE MORAR c. ROUMANIE,CASE OF MORAR AGAINST ROMANIA
001-81181,001-210931,AFFAIRE ARTUN ET GÜVENER c. TURQUIE,CASE OF ÖNER AND TÜRK AGAINST TURKEY AND 21 OTHER CASES
001-204590,NaN,MAHI c. BELGIQUE,NaN
001-203312,001-203688,AFFAIRE PETRO CARBO CHEM S.E. c. ROUMANIE,CASE OF PETRO CARBO CHEM S.E. v. ROMANIA
001-201359,001-171431,AFFAIRE ATAMANCHUK c. RUSSIE,ATAMANCHUK v. RUSSIA
001-115205,001-115452,AFFAIRE ILEANA CONSTANTINESCU c. ROUMANIE,CASE OF ILEANA CONSTANTINESCU v. ROMANIA
001-83423,001-105977,AFFAIRE DESJARDIN c. FRANCE,CASE OF PATUREL AND 10 OTHER CASES AGAINST FRANCE
001-189757,001-213106,AFFAIRE PAIS PIRES DE LIMA c. PORTUGAL,CASE OF PAIS PIRES DE LIMA AGAINST PORTUGAL
001-159912,001-230836,AFFAIRE RODRIGUEZ RAVELO c. ESPAGNE,CASE OF RODRIGUEZ RAVELO AGAINST SPAIN AND 3 OTHER CASES
001-114071,001-113724,AFFAIRE SMOLORZ c. POLOGNE,CASE OF SMOLORZ v. POLAND
001-163453,001-163873,AFFAIRE CICAD c. SUISSE,CASE OF CICAD v. SWITZERLAND
001-83506,001-230850,AFFAIRE NUR RADYO VE TELEVİZYON YAYINCILIĞI A.Ş. c. TURQUIE,CASE OF ÖZGÜR RADYO-SES RADYO TELEVIZYON YAYIN YAPIM VE TANITIM A.Ş. AGAINST TÜRKİYE (No. 2) AND 2 OTHER CASES
001-86076,001-156396,AFFAIRE CAMPOS DAMASO c. PORTUGAL,"CASE OF COLAÇO MESTRE AND SIC - SOCIEDADE INDEPENDENTE DE COMMUNICAÇÃO, S.A. AGAINST PORTUGAL AND 9 OTHER CASES"
001-217625,001-217722,AFFAIRE TANER KILIÇ  c. TURQUIE (N° 2),CASE OF TANER KILIÇ  v. TURKEY (No. 2)
001-202552,001-202793,AFFAIRE HAKİM AYDIN c. TURQUIE,CASE OF HAKIM AYDIN v. TURKEY
001-202522,001-202744,AFFAIRE KEMAL ÇETİN c. TURQUIE,CASE OF KEMAL ÇETİN v. TURKEY
001-225019,001-225306,AFFAIRE KAZAN c. TÜRKİYE,CASE OF KAZAN v. TÜRKİYE
001-193593,001-216853,FORCADELL I LLUIS ET AUTRES c. ESPAGNE,FORCADELL I LLUIS AND OTHERS v. SPAIN
001-220951,001-221324,AFFAIRE ÇİÇEK ET AUTRES c. TÜRKİYE,CASE OF ÇİÇEK AND OTHERS v. TÜRKİYE
001-217377,001-217633,AFFAIRE ALICI ET AUTRES c. TURQUIE,CASE OF ALICI AND OTHERS v. TURKEY
001-217105,001-120087,AFFAIRE SİLGİR c. TURQUIE,SİLGİR v. TURKEY
001-175467,001-192113,AFFAIRE MESUT YILDIZ ET AUTRES c. TURQUIE,CASE OF ABDURRAHMAN TEKIN AGAINST TURKEY AND 54 OTHER CASES
001-204822,001-205361,AFFAIRE AYOUB ET AUTRES c. FRANCE,CASE OF AYOUB AND OTHERS v. FRANCE
001-24931,NaN,VIALAS SIMÓN contre l'ESPAGNE,NaN
001-67180,NaN,AFFAIRE BOTA c. ROUMANIE,NaN
001-204272,001-204615,AFFAIRE YORDANOVI c. BULGARIE,CASE OF YORDANOVI v. BULGARIA
001-217394,001-217414,AFFAIRE YEŞİLLER VE SOL GELECEK PARTİSİ c. TURQUIE,CASE OF YEŞİLLER VE SOL GELECEK PARTİSİ v. TURKEY
001-204123,001-204155,AFFAIRE ADANA TAYAD c. TURQUIE,CASE OF ADANA TAYAD v. TURKEY
001-192902,001-117168,AFFAIRE FONDATION MİHR c. TURQUIE,"MİHR (MEDENİYET, İRFAN, HAYIR, REF) VAKFI v. TURKEY"
001-78869,NaN,KALIFATSTAAT c. ALLEMAGNE,NaN
001-202465,001-202414,AFFAIRE IGNATENCU ET LE PARTI COMMUNISTE ROUMAIN c. ROUMANIE,CASE OF IGNATENCU AND THE ROMANIAN COMMUNIST PARTY v. ROMANIA
001-85589,001-210920,AFFAIRE TOURKIKI ENOSI XANTHIS ET AUTRES c. GRECE,CASE OF BEKIR-OUSTA AND OTHERS AGAINST GREECE AND 2 OTHER CASES 
001-87634,001-87635,AFFAIRE URCAN c. TURQUIE,CASE OF URCAN v. TURKEY
001-154735,001-194780,AFFAIRE DOĞAN ALTUN c. TURQUIE,CASE OF DOĞAN ALTUN AGAINST TURKEY AND 3 OTHER CASES
001-225315,001-225618,AFFAIRE KAYMAK ET AUTRES c. TÜRKİYE,CASE OF KAYMAK AND OTHERS v. TÜRKİYE
001-215535,001-217488,BARIŞ ET AUTRES c. TURQUIE,"BARIŞ  AND OTHERS v. TURKEY
"
001-87130,NaN,SIVERI ET CHIELLINI c. ITALIE,NaN
001-163436,001-163967,AFFAIRE CHAPIN ET CHARPENTIER c. FRANCE,CASE OF CHAPIN AND CHARPENTIER v. FRANCE
001-195547,001-195905,AFFAIRE THEODOROU ET TSOTSOROU c. GRÈCE,CASE OF THEODOROU AND TSOTSOROU v. GREECE
001-44239,NaN,GRIBENKO contre la LETTONIE,NaN
001-105151,001-105152,AFFAIRE IVANOV ET PETROVA c. BULGARIE,CASE OF IVANOV AND PETROVA v. BULGARIA
001-177130,NaN,SAYGILI c. TURQUIE,NaN
